2026-09-05 16:30:41,059 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:25:45,800 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:28:24,589 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:29:41,872 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:31:16,807 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:32:49,147 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:34:20,828 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:36:06,371 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:40:27,572 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:41:48,919 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:44:55,147 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:46:15,830 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:47:50,843 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:49:30,084 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:52:37,087 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:54:40,860 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:56:14,193 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:59:04,104 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:01:54,737 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:03:50,569 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:05:39,016 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:08:08,958 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:09:59,359 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:11:44,693 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:13:03,411 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:15:06,506 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:17:29,154 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:20:07,261 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-05 18:21:07,049 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:23:01,944 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:24:40,095 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:26:10,555 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:27:52,969 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:29:32,185 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:31:10,610 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:32:48,840 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:35:23,246 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:38:01,835 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:39:18,909 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:40:53,637 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:42:25,864 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:43:57,425 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:45:42,786 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:50:03,223 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:51:24,324 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:54:30,209 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 18:55:50,939 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:57:26,197 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 18:59:05,432 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:02:12,369 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:04:16,161 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:05:49,501 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:08:39,731 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:11:30,399 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:13:26,304 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:15:14,845 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:17:44,948 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:19:35,299 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:21:20,625 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:22:39,296 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:24:42,390 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:27:05,049 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:29:43,212 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-05 19:30:42,990 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:32:37,937 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:34:16,163 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:35:46,643 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:37:29,146 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:39:08,378 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:40:46,799 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:42:24,996 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:44:59,326 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:47:37,707 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:48:54,797 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:50:30,562 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 19:52:02,859 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:53:34,465 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:55:19,870 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 19:59:40,414 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:01:02,552 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:04:08,344 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:05:29,026 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:07:05,169 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:08:45,384 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:11:52,423 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:13:56,438 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:15:30,779 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:18:20,757 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:21:11,351 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:23:07,190 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:24:55,705 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:27:25,774 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:29:16,139 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:31:01,315 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:32:20,091 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:34:23,085 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:36:46,703 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:39:24,934 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-05 20:40:25,674 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:42:20,654 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:43:58,874 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:45:29,334 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:47:11,916 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:48:52,127 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:50:31,610 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:52:09,786 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:54:45,217 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 20:57:23,751 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 20:58:41,024 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 21:00:16,818 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 21:01:49,124 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 21:03:20,797 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 21:05:07,162 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 21:09:28,674 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 21:10:50,839 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
